2500,0,8.535893
2500,0,3.199469
2500,0,8.722552
2500,0,8.449936
2250,250,11.136076
2250,250,4.394256
2250,250,9.058772
2250,250,10.483422
2000,500,15.879564
2000,500,5.272868
2000,500,14.199702
2000,500,13.849918
1750,750,17.010630
1750,750,6.226586
1750,750,17.331842
1750,750,20.733898
1500,1000,22.140992
1500,1000,7.274666
1500,1000,21.211936
1500,1000,20.762569
1250,1250,30.239192
1250,1250,7.778578
1250,1250,24.109093
1250,1250,25.235541
1000,1500,30.121314
1000,1500,9.046463
1000,1500,30.847866
1000,1500,30.804717
750,1750,34.558274
750,1750,16.003775
750,1750,35.763546
750,1750,35.618638
500,2000,40.541241
500,2000,34.505531
500,2000,41.031892
500,2000,41.592382
250,2250,45.904396
250,2250,41.501788
250,2250,45.805891
250,2250,46.193518
0,2500,46.144685
0,2500,45.657209
0,2500,45.588800
0,2500,46.939449
